customer_id,age,income_band,credit_score,customer_since,home_country,risk_segment
CUST-26907,59,High,753,2023-01-22,India,Low
CUST-33321,54,Medium,602,2018-04-03,India,Medium
CUST-74291,61,Medium,745,2016-03-02,UK,Low
CUST-18717,49,Medium,596,2023-06-15,USA,Medium
CUST-98869,57,Medium,562,2020-03-12,Singapore,Medium
CUST-60448,59,Low,444,2016-04-21,India,High
CUST-36734,36,Medium,732,2021-01-13,India,Low
CUST-91449,43,High,722,2023-12-29,India,Low
CUST-68656,29,Medium,607,2022-07-13,UAE,Medium
CUST-66138,64,Low,425,2020-05-03,India,High
CUST-51427,42,Medium,666,2023-10-11,USA,Medium
CUST-23234,56,Medium,618,2020-12-19,USA,Medium
CUST-52101,20,Low,443,2022-04-27,India,High
CUST-88477,39,Low,519,2016-02-20,India,High
CUST-92180,66,Low,503,2019-06-02,India,High
CUST-29216,43,Medium,588,2020-02-16,India,Medium
CUST-15415,47,Medium,559,2021-05-09,UAE,Medium
CUST-96740,53,Low,522,2022-01-16,India,High
CUST-53303,36,Medium,550,2023-07-08,India,Medium
CUST-29096,62,Low,579,2019-11-11,UAE,Medium
CUST-93122,19,Low,459,2023-09-30,UAE,High
CUST-61356,41,Medium,712,2019-08-25,USA,Low
CUST-53872,50,High,870,2019-02-12,UAE,Low
CUST-50631,20,High,867,2023-09-05,UAE,Low
CUST-81315,61,Low,311,2020-06-07,India,High
CUST-86077,19,Low,541,2023-09-02,USA,High
CUST-49915,34,Medium,642,2020-08-21,UK,Medium
CUST-65176,43,Low,414,2023-05-21,India,High
CUST-29256,21,Medium,663,2018-01-13,USA,Medium
CUST-67545,46,Low,516,2019-01-15,UK,High
CUST-18070,53,Low,491,2016-08-23,India,High
CUST-89026,52,Medium,645,2016-11-08,India,Medium
CUST-20395,49,High,812,2019-07-15,USA,Low
CUST-62853,40,Medium,654,2018-09-16,India,Medium
CUST-43719,66,Medium,661,2016-12-11,India,Medium
CUST-99106,30,High,876,2020-03-29,India,Low
CUST-75155,58,High,708,2021-03-21,India,Low
CUST-62603,31,Medium,601,2022-12-20,India,Medium
CUST-40678,64,Low,368,2023-11-20,India,High
CUST-49986,42,Medium,602,2021-11-25,UK,Medium
CUST-64771,56,Low,341,2016-12-07,Singapore,High
CUST-14425,31,Medium,682,2016-10-14,USA,Medium
CUST-33236,46,Low,445,2018-12-06,Singapore,High
CUST-24596,26,Medium,694,2024-09-28,India,Medium
CUST-58285,24,Medium,717,2016-08-09,India,Low
CUST-70774,67,High,893,2019-08-16,India,Low
CUST-48243,54,Low,435,2019-04-04,India,High
CUST-11622,18,High,844,2020-04-30,UAE,Low
CUST-57924,42,Medium,585,2021-07-14,India,Medium
CUST-96145,48,Medium,657,2021-01-03,India,Medium
CUST-99599,44,Low,318,2017-11-18,India,High
CUST-33150,20,Low,541,2023-05-11,India,High
CUST-22112,37,Low,300,2020-11-16,USA,High
CUST-25048,45,High,890,2018-08-29,India,Low
CUST-96123,42,High,865,2021-06-13,India,Low
CUST-16960,61,High,872,2023-04-05,India,Low
CUST-22254,38,Low,512,2023-12-10,Singapore,High
CUST-72552,54,Low,446,2019-03-06,Singapore,High
CUST-80342,35,Low,313,2023-05-01,India,High
CUST-16737,18,Medium,667,2016-01-31,India,Medium
CUST-84910,40,Low,311,2017-05-21,Singapore,High
CUST-16640,33,High,851,2019-03-16,USA,Low
CUST-84859,25,Low,463,2022-05-04,India,High
CUST-95431,67,Low,340,2024-10-19,India,High
CUST-12050,44,Medium,694,2019-12-14,India,Medium
CUST-45400,37,Medium,706,2022-07-29,India,Low
CUST-39757,52,High,781,2019-08-17,India,Low
CUST-91470,22,Medium,743,2016-11-30,India,Low
CUST-65554,47,High,808,2022-12-10,India,Low
CUST-72483,50,Medium,695,2016-03-28,Singapore,Medium
CUST-17906,66,Low,581,2020-05-30,India,Medium
CUST-27674,39,High,876,2017-03-09,UK,Low
CUST-60106,51,Low,305,2022-02-22,USA,High
CUST-19903,22,High,801,2016-11-23,UAE,Low
CUST-11591,40,Medium,714,2016-10-22,UK,Low
CUST-29623,36,Low,377,2018-06-18,India,High
CUST-96206,18,High,703,2021-01-14,India,Low
CUST-59138,66,Medium,583,2017-04-10,India,Medium
CUST-70461,25,Low,549,2020-01-05,India,High
CUST-41575,20,Medium,561,2022-04-08,UK,Medium
CUST-36660,61,Medium,606,2016-07-02,India,Medium
CUST-60192,64,Medium,634,2021-09-28,USA,Medium
CUST-47567,28,Low,491,2022-09-20,India,High
CUST-54064,55,Medium,631,2018-01-24,India,Medium
CUST-78878,44,Low,548,2017-04-16,India,High
CUST-13093,41,High,729,2017-07-26,USA,Low
CUST-38602,68,Medium,578,2020-01-28,India,Medium
CUST-29982,34,Medium,633,2022-07-17,India,Medium
CUST-31563,51,Medium,743,2016-01-21,India,Low
CUST-95553,60,Medium,664,2024-08-08,India,Medium
CUST-10526,40,Low,394,2017-02-20,India,High
CUST-75455,33,Medium,653,2018-08-10,USA,Medium
CUST-36589,42,High,894,2022-07-03,India,Low
CUST-40087,49,Low,421,2018-06-29,India,High
CUST-84441,38,Low,391,2024-01-22,India,High
CUST-98652,39,Low,300,2019-09-28,India,High
CUST-75641,29,Low,333,2016-04-26,India,High
CUST-43320,43,Medium,622,2017-06-23,India,Medium
CUST-36630,64,Medium,605,2022-10-15,UAE,Medium
CUST-25313,65,Low,325,2022-12-31,UAE,High
CUST-30022,25,Medium,729,2023-11-24,India,Low
CUST-10661,39,Low,327,2020-03-19,India,High
CUST-26309,41,Medium,703,2024-10-10,India,Low
CUST-35963,68,Medium,660,2018-09-25,UK,Medium
CUST-41585,60,Medium,567,2018-02-27,India,Medium
CUST-94878,52,Low,491,2022-03-19,India,High
CUST-76061,54,Low,338,2019-07-07,India,High
CUST-80135,56,Low,425,2016-06-28,India,High
CUST-23760,34,Low,324,2022-04-13,USA,High
CUST-29816,20,Medium,695,2022-02-03,India,Medium
CUST-81635,64,Medium,660,2021-06-14,USA,Medium
CUST-93310,66,Medium,591,2018-06-13,India,Medium
CUST-10281,23,High,763,2021-02-12,India,Low
CUST-51235,62,Low,588,2016-10-29,India,Medium
CUST-25398,38,Low,411,2021-08-21,India,High
CUST-33196,28,Low,394,2020-10-27,India,High
CUST-65409,26,Low,542,2016-11-14,India,High
CUST-41890,54,High,705,2020-10-25,India,Low
CUST-27087,45,High,778,2024-05-21,UK,Low
CUST-39165,66,Medium,728,2019-03-10,UK,Low
CUST-35426,19,Medium,685,2024-01-21,India,Medium
CUST-19108,62,Medium,619,2020-02-25,Singapore,Medium
CUST-89973,21,Medium,569,2017-04-04,India,Medium
CUST-16471,64,Medium,691,2023-10-31,India,Medium
CUST-91889,54,Medium,649,2023-05-27,India,Medium
CUST-68348,20,Low,477,2016-05-09,India,High
CUST-66088,22,Low,471,2020-02-27,India,High
CUST-17151,57,High,764,2023-05-02,India,Low
CUST-64691,26,Medium,692,2021-02-07,India,Medium
CUST-58713,52,Low,368,2024-11-09,UK,High
CUST-22149,61,Medium,666,2017-11-14,USA,Medium
CUST-98789,26,Low,334,2018-01-11,UAE,High
CUST-85388,39,Low,566,2017-10-29,UK,Medium
CUST-98920,31,Medium,584,2016-03-10,India,Medium
CUST-36160,22,Low,377,2020-01-21,India,High
CUST-37213,21,Low,341,2016-08-22,India,High
CUST-75108,57,Medium,653,2021-10-16,India,Medium
CUST-70946,68,Medium,646,2024-10-16,USA,Medium
CUST-83379,32,Medium,694,2016-04-20,UAE,Medium
CUST-20756,19,Medium,653,2018-07-30,India,Medium
CUST-55113,56,Low,433,2019-09-10,India,High
CUST-63363,68,Low,314,2018-12-27,UAE,High
CUST-98733,50,Medium,704,2019-07-14,UK,Low
CUST-91437,55,Medium,704,2022-02-17,USA,Low
CUST-28752,21,Medium,559,2022-06-26,India,Medium
CUST-20699,27,Low,593,2016-04-04,India,Medium
CUST-94328,64,High,879,2019-04-14,India,Low
CUST-74977,46,Medium,706,2021-05-25,India,Low
CUST-22329,29,Medium,704,2022-12-27,USA,Low
CUST-34226,68,Medium,575,2024-07-08,India,Medium
CUST-15656,22,High,773,2018-09-05,India,Low
CUST-24716,23,Medium,596,2022-03-26,India,Medium
CUST-27347,60,Low,440,2021-08-31,India,High
CUST-38179,35,Medium,660,2018-01-12,USA,Medium
CUST-70545,60,High,799,2024-09-18,UAE,Low
CUST-59841,22,High,771,2021-10-10,USA,Low
CUST-60331,66,Medium,671,2019-10-04,India,Medium
CUST-53108,68,Medium,589,2019-02-01,UK,Medium
CUST-52468,28,Medium,595,2019-11-17,India,Medium
CUST-79252,43,High,881,2019-09-07,UK,Low
CUST-33177,18,High,754,2023-11-14,India,Low
CUST-14798,32,Low,436,2024-02-23,India,High
CUST-43361,43,Low,362,2017-11-18,India,High
CUST-42784,43,High,829,2022-11-19,India,Low
CUST-30281,44,Medium,566,2020-05-17,India,Medium
CUST-17099,61,High,881,2019-06-15,India,Low
CUST-80476,24,Low,460,2023-12-05,India,High
CUST-54857,60,Medium,705,2021-08-13,India,Low
CUST-38138,66,Low,383,2017-04-03,India,High
CUST-33888,37,Medium,612,2019-10-18,Singapore,Medium
CUST-16979,66,Low,523,2023-12-04,India,High
CUST-15978,40,Medium,733,2018-02-14,UAE,Low
CUST-74379,49,Medium,598,2017-04-29,India,Medium
CUST-87811,47,High,718,2016-08-15,India,Low
CUST-87794,31,Medium,743,2017-09-15,India,Low
CUST-33911,66,Medium,715,2020-02-21,UK,Low
CUST-68712,21,Low,354,2021-06-17,UAE,High
CUST-56486,49,Low,461,2020-03-23,India,High
CUST-28037,40,High,731,2020-08-26,USA,Low
CUST-75095,46,Medium,606,2024-08-04,India,Medium
CUST-78056,41,Low,554,2022-05-27,India,Medium
CUST-94899,64,Medium,600,2021-01-24,USA,Medium
CUST-99822,64,Medium,584,2018-11-24,India,Medium
CUST-28313,31,Medium,595,2016-05-13,UK,Medium
CUST-71627,21,High,881,2018-11-13,India,Low
CUST-79122,48,Low,306,2016-06-17,USA,High
CUST-38731,50,Low,446,2020-06-06,India,High
CUST-47861,36,Medium,737,2019-01-03,USA,Low
CUST-43937,18,High,847,2017-01-25,India,Low
CUST-31621,19,Low,418,2019-07-25,India,High
CUST-67418,22,Low,555,2020-05-03,India,Medium
CUST-64220,51,High,798,2024-11-15,UAE,Low
CUST-35279,39,Medium,630,2018-07-08,UAE,Medium
CUST-12839,63,Medium,663,2022-02-23,India,Medium
CUST-55603,31,Medium,743,2016-04-23,USA,Low
CUST-44742,56,Low,577,2020-12-26,UK,Medium
CUST-15347,21,Low,328,2016-07-08,India,High
CUST-40682,40,Medium,619,2023-05-23,UAE,Medium
CUST-87465,38,High,740,2022-02-06,India,Low
CUST-44521,34,Medium,671,2024-09-30,USA,Medium
CUST-12336,59,Low,326,2020-03-26,UAE,High
CUST-54629,23,Medium,647,2021-03-08,USA,Medium
CUST-78673,24,Medium,694,2020-01-31,India,Medium
CUST-40651,45,Medium,595,2022-11-04,India,Medium
CUST-73870,60,Low,480,2016-05-12,USA,High
CUST-28133,43,Low,566,2016-09-10,India,Medium
CUST-32263,53,Medium,588,2018-05-29,USA,Medium
CUST-58563,51,Low,451,2019-12-27,UAE,High
CUST-61707,22,Medium,585,2024-03-09,India,Medium
CUST-50846,36,Medium,630,2020-03-23,India,Medium
CUST-10282,62,Low,500,2019-04-28,UK,High
CUST-27071,26,Low,316,2019-09-27,India,High
CUST-41852,60,Medium,574,2017-12-27,India,Medium
CUST-36170,20,Low,407,2016-05-05,USA,High
CUST-59416,47,Low,311,2017-01-04,India,High
CUST-97489,61,High,748,2018-12-10,India,Low
CUST-95751,27,Medium,596,2022-02-18,India,Medium
CUST-23230,33,High,707,2024-06-21,USA,Low
CUST-50718,34,Medium,667,2024-07-15,USA,Medium
CUST-84663,25,Low,388,2017-06-15,USA,High
CUST-81906,43,Low,325,2024-03-23,India,High
CUST-63798,27,Medium,694,2021-03-13,India,Medium
CUST-93297,38,Medium,684,2018-06-17,India,Medium
CUST-81678,24,Low,475,2020-11-25,India,High
CUST-79624,40,Medium,665,2023-03-31,UK,Medium
CUST-85948,35,Medium,652,2019-07-30,India,Medium
CUST-60085,48,Low,407,2018-12-24,India,High
CUST-87175,51,High,870,2019-04-10,India,Low
CUST-60139,40,Low,314,2019-05-24,UK,High
CUST-96710,21,Medium,702,2022-07-11,USA,Low
CUST-59812,50,High,869,2019-03-26,UAE,Low
CUST-56403,19,Low,469,2021-01-18,Singapore,High
CUST-81853,30,Medium,709,2021-10-06,UAE,Low
CUST-71944,56,Low,328,2018-05-04,UK,High
CUST-56571,46,Low,535,2018-09-25,USA,High
CUST-50197,61,High,709,2019-06-16,India,Low
CUST-34000,56,Medium,614,2020-07-24,India,Medium
CUST-66044,20,Medium,669,2019-10-09,India,Medium
CUST-13828,21,Medium,586,2022-11-16,India,Medium
CUST-80448,18,High,772,2024-01-12,India,Low
CUST-91554,41,Low,486,2019-01-25,UAE,High
CUST-88279,54,Low,497,2022-02-02,Singapore,High
CUST-47383,63,Medium,611,2024-12-21,USA,Medium
CUST-56737,42,Medium,553,2022-06-22,India,Medium
CUST-26715,37,High,753,2022-02-28,USA,Low
CUST-61649,62,Low,406,2023-12-15,India,High
CUST-29539,43,Low,558,2018-10-17,UK,Medium
CUST-81975,22,Low,346,2021-11-17,India,High
CUST-84964,26,High,821,2018-11-26,India,Low
CUST-89285,59,Medium,631,2021-01-03,USA,Medium
CUST-52849,41,High,712,2018-12-11,India,Low
CUST-25434,64,Low,367,2022-06-27,India,High
CUST-91926,51,Medium,733,2022-08-01,India,Low
CUST-50379,45,Medium,744,2018-07-26,Singapore,Low
CUST-89239,29,Low,339,2020-07-29,UAE,High
CUST-17069,28,Low,423,2024-10-30,India,High
CUST-87362,25,Medium,725,2017-07-19,India,Low
CUST-12169,23,High,875,2024-11-17,USA,Low
CUST-35372,22,High,813,2018-07-25,India,Low
CUST-37716,49,Medium,664,2018-01-26,UK,Medium
CUST-19569,57,Medium,640,2017-05-04,UAE,Medium
CUST-84027,50,High,846,2015-12-30,UAE,Low
CUST-36762,45,High,758,2019-08-20,India,Low
CUST-94754,30,High,788,2017-09-15,UAE,Low
CUST-85774,53,Medium,715,2021-12-20,India,Low
CUST-26859,22,High,757,2023-06-22,India,Low
CUST-76418,48,High,837,2015-12-27,UK,Low
CUST-38064,47,High,781,2024-08-13,UK,Low
CUST-40386,31,Medium,561,2019-01-29,India,Medium
CUST-29503,49,Low,454,2016-08-28,Singapore,High
CUST-50510,34,Low,487,2019-10-13,India,High
CUST-46674,62,Medium,619,2024-01-05,India,Medium
CUST-21944,24,Medium,612,2024-12-12,India,Medium
CUST-88471,32,High,721,2018-10-26,UAE,Low
CUST-87064,49,Medium,617,2016-06-04,India,Medium
CUST-20207,34,Medium,694,2017-06-17,India,Medium
CUST-81312,18,Low,419,2023-02-07,India,High
CUST-78487,67,High,874,2020-02-16,Singapore,Low
CUST-25592,53,Medium,729,2017-06-08,UK,Low
CUST-17190,24,Low,332,2018-06-05,India,High
CUST-22145,32,High,757,2022-04-25,India,Low
CUST-66378,51,Low,584,2016-04-24,UAE,Medium
CUST-89563,52,Medium,588,2024-11-07,India,Medium
CUST-37990,46,Medium,665,2018-07-28,UK,Medium
CUST-29008,64,Medium,571,2024-12-22,India,Medium
CUST-12224,20,High,883,2017-10-11,India,Low
CUST-54760,38,High,800,2016-07-22,USA,Low
CUST-64040,23,Medium,746,2024-08-14,Singapore,Low
CUST-55968,18,Low,314,2022-05-02,USA,High
CUST-64120,52,Low,580,2023-01-06,USA,Medium
CUST-90769,35,High,726,2020-03-10,Singapore,Low
CUST-95896,63,Low,392,2023-02-18,UK,High
CUST-57591,32,Medium,599,2023-01-05,UK,Medium
CUST-65860,20,Medium,721,2019-12-26,India,Low
CUST-46609,20,Low,314,2016-01-29,India,High
CUST-11401,31,Medium,675,2016-03-03,USA,Medium
CUST-87403,53,Medium,725,2023-12-10,India,Low
CUST-40431,39,Medium,666,2018-12-16,India,Medium
CUST-16155,25,Low,504,2023-12-11,India,High
CUST-37606,38,Low,394,2019-11-02,USA,High
CUST-97265,28,Medium,582,2020-11-30,Singapore,Medium
CUST-92152,58,Low,513,2018-08-14,USA,High
CUST-56473,58,Low,345,2017-04-24,India,High
CUST-84218,33,Medium,641,2017-12-22,USA,Medium
CUST-90360,27,Medium,646,2017-07-09,India,Medium
CUST-57118,50,High,857,2018-09-20,India,Low
CUST-98509,69,Low,402,2016-02-15,India,High
CUST-10492,56,Low,421,2018-07-04,UK,High
CUST-38328,51,Low,422,2024-04-06,India,High
CUST-97178,23,Medium,709,2017-09-13,India,Low
CUST-40873,29,High,877,2021-08-16,USA,Low
CUST-18199,37,Low,550,2016-11-19,India,Medium
CUST-97893,28,High,831,2023-08-15,India,Low
CUST-53463,39,Medium,552,2020-12-30,India,Medium
CUST-76732,59,Medium,561,2019-07-03,India,Medium
CUST-13696,30,Medium,671,2018-03-06,India,Medium
CUST-76641,63,Low,520,2024-10-31,UK,High
CUST-74503,49,Medium,631,2017-10-04,India,Medium
CUST-71844,36,Low,358,2019-04-27,USA,High
CUST-49464,27,Medium,738,2016-02-16,India,Low
CUST-55095,32,Low,512,2024-09-16,USA,High
CUST-37056,41,Medium,553,2016-06-07,USA,Medium
CUST-90437,37,Medium,599,2023-08-26,UAE,Medium
CUST-48402,49,Medium,666,2019-02-04,India,Medium
CUST-36564,53,High,861,2023-07-27,UK,Low
CUST-40106,56,Low,485,2018-03-09,UAE,High
CUST-20014,29,Low,317,2020-05-07,USA,High
CUST-79087,32,Low,581,2023-09-20,USA,Medium
CUST-12800,65,Medium,591,2019-05-14,India,Medium
CUST-30583,31,Medium,586,2021-07-01,UAE,Medium
CUST-72021,62,Medium,609,2018-09-14,India,Medium
CUST-44998,31,Medium,633,2020-02-29,India,Medium
CUST-34618,23,Medium,638,2017-10-13,Singapore,Medium
CUST-98791,19,High,704,2023-04-16,India,Low
CUST-10389,57,Medium,713,2023-06-14,Singapore,Low
CUST-66408,64,Low,309,2023-04-24,India,High
CUST-21889,31,Low,392,2017-09-20,India,High
CUST-97051,47,Low,432,2018-11-24,India,High
CUST-33620,60,High,756,2023-02-12,India,Low
CUST-36049,37,Low,406,2017-05-12,USA,High
CUST-98278,54,Medium,598,2023-09-04,UK,Medium
CUST-64845,61,Medium,660,2022-11-04,UAE,Medium
CUST-72120,61,Medium,697,2022-12-28,India,Medium
CUST-32625,19,Low,592,2019-03-17,UAE,Medium
CUST-70710,46,Medium,584,2020-02-26,India,Medium
CUST-40109,22,Low,478,2023-11-22,India,High
CUST-55800,59,Low,541,2021-08-08,Singapore,High
CUST-11813,60,Low,516,2018-12-26,USA,High
CUST-88854,56,Medium,720,2017-02-05,India,Low
CUST-40981,61,Medium,700,2018-04-13,India,Low
CUST-17674,62,Low,533,2020-07-01,USA,High
CUST-39943,25,High,828,2019-05-12,USA,Low
CUST-20278,46,Medium,554,2018-05-09,Singapore,Medium
CUST-20442,64,Medium,604,2020-04-16,Singapore,Medium
CUST-44397,60,Medium,663,2018-01-28,India,Medium
CUST-11014,43,High,812,2020-01-08,India,Low
CUST-34170,25,Medium,745,2020-09-22,USA,Low
CUST-59831,36,High,841,2024-04-22,India,Low
CUST-91982,22,Medium,739,2024-10-17,USA,Low
CUST-83539,67,Medium,612,2021-02-02,Singapore,Medium
CUST-66704,58,High,712,2023-12-07,UK,Low
CUST-92722,30,Low,397,2016-09-24,India,High
CUST-13606,63,High,718,2022-11-15,UK,Low
CUST-58516,35,High,722,2018-11-02,India,Low
CUST-33408,28,Low,388,2019-06-19,India,High
CUST-42854,18,Low,498,2024-04-21,India,High
CUST-11700,36,Low,523,2021-04-18,India,High
CUST-80269,61,Low,566,2016-12-29,USA,Medium
CUST-53939,63,Medium,743,2021-02-08,India,Low
CUST-53370,20,Medium,621,2023-08-24,India,Medium
CUST-18640,23,High,853,2024-07-24,India,Low
CUST-81088,22,Low,592,2016-10-13,India,Medium
CUST-68692,53,Medium,725,2024-05-14,India,Low
CUST-75048,63,Medium,672,2024-10-31,India,Medium
CUST-40075,38,Low,416,2020-03-13,UAE,High
CUST-14994,42,Medium,600,2016-09-07,India,Medium
CUST-12763,38,Medium,568,2023-01-02,India,Medium
CUST-16476,21,Low,351,2018-12-16,USA,High
CUST-83933,46,High,734,2022-07-16,India,Low
CUST-78842,59,Medium,695,2020-01-28,India,Medium
CUST-54535,30,Medium,638,2023-12-27,India,Medium
CUST-54386,24,Medium,623,2021-04-03,UK,Medium
CUST-44693,48,Medium,605,2017-04-14,UK,Medium
CUST-97796,59,High,783,2023-04-26,India,Low
CUST-61727,24,High,871,2022-11-15,India,Low
CUST-37216,59,Low,440,2016-01-14,USA,High
CUST-41455,38,High,836,2016-04-17,UK,Low
CUST-47019,32,Medium,671,2024-08-27,India,Medium
CUST-53395,59,High,748,2020-01-12,India,Low
CUST-90764,54,Low,451,2020-06-16,UK,High
CUST-12103,56,Medium,695,2017-04-14,UK,Medium
CUST-96908,27,Medium,618,2017-03-21,India,Medium
CUST-24908,52,High,860,2017-07-24,India,Low
CUST-86234,34,Low,592,2022-08-18,USA,Medium
CUST-16644,45,Low,310,2018-07-30,India,High
CUST-56287,31,Medium,734,2021-07-12,India,Low
CUST-80014,19,Low,562,2016-09-26,USA,Medium
CUST-15741,20,Medium,674,2019-11-23,USA,Medium
CUST-45595,66,Low,579,2020-08-03,India,Medium
CUST-29610,36,Medium,651,2024-07-14,India,Medium
CUST-29288,56,Medium,585,2020-01-14,India,Medium
CUST-71845,50,Medium,622,2017-12-06,India,Medium
CUST-93055,23,Low,495,2020-05-28,India,High
CUST-13255,19,Medium,721,2017-03-19,India,Low
CUST-63027,38,Low,499,2021-02-14,USA,High
CUST-15021,61,Low,558,2019-06-19,India,Medium
CUST-69546,19,High,701,2023-06-29,India,Low
CUST-25160,52,Medium,579,2016-05-01,India,Medium
CUST-97954,39,Medium,585,2020-10-03,Singapore,Medium
CUST-79681,46,Medium,604,2016-05-14,India,Medium
CUST-47099,47,Medium,693,2021-02-21,India,Medium
CUST-25408,33,Medium,552,2018-03-17,UAE,Medium
CUST-28814,62,Low,414,2022-05-15,India,High
CUST-55541,22,Medium,657,2024-04-29,India,Medium
CUST-83193,47,Medium,747,2016-09-19,India,Low
CUST-80744,25,Medium,710,2020-11-18,USA,Low
CUST-53856,29,Medium,691,2016-12-12,India,Medium
CUST-46683,40,Low,365,2020-08-15,India,High
CUST-42954,19,High,892,2017-08-28,India,Low
CUST-23900,69,Low,453,2016-09-24,USA,High
CUST-13262,23,High,870,2018-06-10,India,Low
CUST-82391,54,Low,311,2018-02-26,UAE,High
CUST-19018,59,Medium,722,2022-10-20,India,Low
CUST-29942,41,Medium,683,2017-03-13,India,Medium
CUST-10336,24,Low,372,2019-06-01,India,High
CUST-87485,52,Low,429,2023-12-10,India,High
CUST-28108,31,High,709,2019-07-27,UK,Low
CUST-54369,42,Medium,582,2017-02-12,UAE,Medium
CUST-82307,31,Low,537,2020-11-30,India,High
CUST-45554,20,High,833,2020-06-19,India,Low
CUST-88840,51,Low,324,2024-01-28,India,High
CUST-32800,62,Medium,581,2019-09-07,India,Medium
CUST-55397,45,Low,319,2023-04-12,India,High
