transaction_amount,hours_since_last_txn,fraud_probability,risk_score,risk_category,actual_fraud
3052.68,18.57,0.0,0.0,Low Risk,0
1911.17,1.87,0.0,0.0,Low Risk,0
2089.91,36.59,0.0,0.0,Low Risk,0
2912.46,0.32,0.0,0.0,Low Risk,0
1110.74,8.41,0.0,0.0,Low Risk,0
2649.9,5.5,0.0,0.0,Low Risk,0
1748.67,8.46,0.0,0.0,Low Risk,0
5132.03,2.07,0.0,0.0,Low Risk,0
5295.39,1.63,0.0,0.0,Low Risk,0
949.0,9.2,0.0,0.0,Low Risk,0
3804.4,4.48,0.0,0.0,Low Risk,0
4992.1,43.19,0.0,0.0,Low Risk,0
3632.56,2.64,0.0,0.0,Low Risk,0
1270.13,11.81,0.0,0.0,Low Risk,0
1739.83,2.06,0.0,0.0,Low Risk,0
70.18,0.44,0.0025700934579439253,0.26,Low Risk,0
1208.16,16.71,0.0,0.0,Low Risk,0
4968.76,1.39,0.003289473684210526,0.33,Low Risk,0
2928.31,11.05,0.0,0.0,Low Risk,0
41991.7,0.94,1.0,100.0,High Risk,1
851.31,17.06,0.0,0.0,Low Risk,0
2477.1,0.02,0.0,0.0,Low Risk,0
1716.6,10.3,0.0,0.0,Low Risk,0
3071.63,0.75,0.0,0.0,Low Risk,0
3548.2,6.86,0.0,0.0,Low Risk,0
916.49,10.8,0.0,0.0,Low Risk,0
2230.72,0.14,0.0012987012987012987,0.13,Low Risk,0
2851.22,8.39,0.0,0.0,Low Risk,0
4137.44,4.16,0.0,0.0,Low Risk,0
1244.7,9.96,0.0,0.0,Low Risk,0
1067.02,4.42,0.0,0.0,Low Risk,0
305.87,47.98,0.0,0.0,Low Risk,0
3040.27,0.14,0.0012987012987012987,0.13,Low Risk,0
2756.74,0.9,0.002875399361022364,0.29,Low Risk,0
3691.41,6.84,0.0,0.0,Low Risk,0
2981.88,30.47,0.0,0.0,Low Risk,0
3068.02,3.7,0.0,0.0,Low Risk,0
3796.8,19.07,0.0,0.0,Low Risk,0
50.0,9.92,0.0,0.0,Low Risk,0
432.65,4.38,0.0,0.0,Low Risk,0
4336.65,0.7,0.0,0.0,Low Risk,0
2439.84,24.48,0.0,0.0,Low Risk,0
50.0,3.55,0.0,0.0,Low Risk,0
1070.38,17.73,0.0,0.0,Low Risk,0
2620.32,9.03,0.0,0.0,Low Risk,0
3433.15,15.27,0.0,0.0,Low Risk,0
2119.43,14.22,0.0,0.0,Low Risk,0
2268.99,18.25,0.0,0.0,Low Risk,0
2920.81,1.45,0.0,0.0,Low Risk,0
2502.75,3.38,0.0,0.0,Low Risk,0
4757.89,1.28,0.0,0.0,Low Risk,0
1691.98,4.31,0.0,0.0,Low Risk,0
3005.0,15.66,0.0,0.0,Low Risk,0
50.0,15.61,0.0,0.0,Low Risk,0
4424.74,15.05,0.0,0.0,Low Risk,0
37789.26,0.87,1.0,100.0,High Risk,1
4160.96,9.39,0.0,0.0,Low Risk,0
2683.08,19.62,0.0,0.0,Low Risk,0
1710.12,0.85,0.0,0.0,Low Risk,0
1766.73,3.03,0.0,0.0,Low Risk,0
4797.97,6.04,0.0,0.0,Low Risk,0
2489.47,3.76,0.0,0.0,Low Risk,0
2756.2,5.42,0.0,0.0,Low Risk,0
2778.8,3.15,0.0,0.0,Low Risk,0
1750.37,42.33,0.0,0.0,Low Risk,0
4215.26,2.62,0.0,0.0,Low Risk,0
2322.86,2.17,0.0,0.0,Low Risk,0
3959.07,4.99,0.0,0.0,Low Risk,0
4780.57,7.68,0.0,0.0,Low Risk,0
3216.51,1.04,0.0030120481927710845,0.3,Low Risk,0
1498.81,5.06,0.0,0.0,Low Risk,0
2248.54,21.76,0.0,0.0,Low Risk,0
2883.75,25.49,0.0,0.0,Low Risk,0
3003.07,2.55,0.0,0.0,Low Risk,0
3206.83,22.93,0.0,0.0,Low Risk,0
1899.43,9.2,0.0,0.0,Low Risk,0
1322.97,7.33,0.0,0.0,Low Risk,0
3963.79,28.63,0.0,0.0,Low Risk,0
1308.09,10.48,0.0,0.0,Low Risk,0
2278.44,10.61,0.0,0.0,Low Risk,0
3859.27,4.82,0.0,0.0,Low Risk,0
1703.16,0.45,0.0027272727272727275,0.27,Low Risk,0
3362.98,12.71,0.0,0.0,Low Risk,0
1909.91,1.56,0.0,0.0,Low Risk,0
2953.41,34.66,0.0,0.0,Low Risk,0
270.43,6.0,0.0,0.0,Low Risk,0
1644.7,0.4,0.0,0.0,Low Risk,0
2045.5,9.27,0.0,0.0,Low Risk,0
50.0,0.47,0.0,0.0,Low Risk,0
1329.39,10.37,0.0,0.0,Low Risk,0
31480.49,0.55,1.0,100.0,High Risk,1
2394.12,5.7,0.0,0.0,Low Risk,0
4221.88,1.0,0.0,0.0,Low Risk,0
2107.24,8.57,0.0,0.0,Low Risk,0
3067.61,34.59,0.0,0.0,Low Risk,0
1675.25,27.8,0.0,0.0,Low Risk,0
2919.61,2.53,0.0,0.0,Low Risk,0
1771.75,13.55,0.0,0.0,Low Risk,0
2453.15,10.05,0.0,0.0,Low Risk,0
2617.77,9.26,0.0,0.0,Low Risk,0
3555.92,11.78,0.0,0.0,Low Risk,0
1771.6,1.45,0.0,0.0,Low Risk,0
1752.87,13.79,0.0,0.0,Low Risk,0
2565.31,1.01,0.0,0.0,Low Risk,0
2418.42,19.04,0.0,0.0,Low Risk,0
2417.76,10.28,0.0,0.0,Low Risk,0
1783.6,20.46,0.0,0.0,Low Risk,0
3236.02,5.55,0.0,0.0,Low Risk,0
1469.27,0.58,0.0,0.0,Low Risk,0
3349.89,2.77,0.0,0.0,Low Risk,0
3413.09,12.93,0.0,0.0,Low Risk,0
3340.1,6.51,0.0,0.0,Low Risk,0
2783.57,10.31,0.0,0.0,Low Risk,0
2672.33,3.91,0.0,0.0,Low Risk,0
1389.61,10.1,0.0,0.0,Low Risk,0
4448.47,16.55,0.0,0.0,Low Risk,0
2456.0,2.74,0.0,0.0,Low Risk,0
196.43,3.6,0.0,0.0,Low Risk,0
1855.49,19.21,0.0,0.0,Low Risk,0
1735.55,1.92,0.0,0.0,Low Risk,0
2959.43,1.89,0.0,0.0,Low Risk,0
2758.63,2.94,0.0,0.0,Low Risk,0
1871.23,29.06,0.0,0.0,Low Risk,0
2784.69,7.77,0.0,0.0,Low Risk,0
16974.13,0.92,1.0,100.0,High Risk,1
2750.59,4.45,0.0,0.0,Low Risk,0
2622.63,1.34,0.0,0.0,Low Risk,0
1572.4,8.01,0.0,0.0,Low Risk,0
2415.95,0.34,0.0,0.0,Low Risk,0
1325.71,15.87,0.0,0.0,Low Risk,0
4046.99,24.21,0.0,0.0,Low Risk,0
2330.1,7.46,0.0,0.0,Low Risk,0
2726.71,9.1,0.0,0.0,Low Risk,0
2448.34,14.88,0.0,0.0,Low Risk,0
2883.25,3.24,0.0,0.0,Low Risk,0
1738.63,3.01,0.0,0.0,Low Risk,0
3087.16,7.5,0.0,0.0,Low Risk,0
3694.95,0.02,0.0,0.0,Low Risk,0
2998.66,0.64,0.0,0.0,Low Risk,0
3038.44,10.97,0.0,0.0,Low Risk,0
2703.42,17.41,0.0,0.0,Low Risk,0
5724.77,10.97,0.0,0.0,Low Risk,0
984.98,6.36,0.0,0.0,Low Risk,0
1872.03,5.16,0.0,0.0,Low Risk,0
3378.39,22.19,0.0,0.0,Low Risk,0
1900.64,8.45,0.0,0.0,Low Risk,0
1817.14,0.4,0.0,0.0,Low Risk,0
30082.41,1.01,1.0,100.0,High Risk,1
3328.56,10.25,0.0,0.0,Low Risk,0
1297.43,12.51,0.0,0.0,Low Risk,0
3712.15,21.65,0.0,0.0,Low Risk,0
23094.52,0.82,0.9986868686868687,99.87,High Risk,1
4988.84,3.49,0.0,0.0,Low Risk,0
5891.85,1.65,0.0,0.0,Low Risk,0
3145.71,11.8,0.0,0.0,Low Risk,0
3266.46,15.99,0.0,0.0,Low Risk,0
2340.19,2.48,0.0,0.0,Low Risk,0
3599.67,4.04,0.0,0.0,Low Risk,0
952.66,21.76,0.0,0.0,Low Risk,0
2943.56,18.59,0.0,0.0,Low Risk,0
2585.95,24.05,0.0,0.0,Low Risk,0
756.29,8.69,0.0,0.0,Low Risk,0
38888.58,0.83,0.9986868686868687,99.87,High Risk,1
2219.77,5.54,0.0,0.0,Low Risk,0
2712.6,11.39,0.0,0.0,Low Risk,0
2843.46,5.38,0.0,0.0,Low Risk,0
1830.88,3.81,0.0,0.0,Low Risk,0
2947.86,2.59,0.0,0.0,Low Risk,0
2306.96,8.61,0.0,0.0,Low Risk,0
4467.08,10.51,0.0,0.0,Low Risk,0
938.73,1.85,0.0,0.0,Low Risk,0
1850.89,6.62,0.0,0.0,Low Risk,0
3173.74,9.82,0.0,0.0,Low Risk,0
39750.16,0.89,0.9996453900709219,99.96,High Risk,1
1649.28,8.69,0.0,0.0,Low Risk,0
4322.8,0.38,0.0,0.0,Low Risk,0
1147.16,2.09,0.0,0.0,Low Risk,0
3919.26,5.74,0.0,0.0,Low Risk,0
2786.58,3.05,0.0,0.0,Low Risk,0
4400.27,0.2,0.006111526656521627,0.61,Low Risk,0
1156.44,2.45,0.0,0.0,Low Risk,0
3867.86,21.66,0.0,0.0,Low Risk,0
1542.47,12.56,0.0,0.0,Low Risk,0
3311.62,11.4,0.0,0.0,Low Risk,0
2344.7,9.14,0.0,0.0,Low Risk,0
424.6,0.68,0.0,0.0,Low Risk,0
3648.96,10.23,0.0,0.0,Low Risk,0
3199.2,3.7,0.0,0.0,Low Risk,0
2204.62,5.55,0.0,0.0,Low Risk,0
2914.92,0.14,0.0012987012987012987,0.13,Low Risk,0
1702.84,28.5,0.0,0.0,Low Risk,0
5288.34,12.16,0.0,0.0,Low Risk,0
1978.51,18.43,0.0,0.0,Low Risk,0
3283.44,20.92,0.0,0.0,Low Risk,0
783.93,3.83,0.0,0.0,Low Risk,0
1369.0,8.75,0.0,0.0,Low Risk,0
3318.18,3.26,0.0,0.0,Low Risk,0
2255.36,8.88,0.0,0.0,Low Risk,0
2406.52,6.59,0.0,0.0,Low Risk,0
4697.83,14.65,0.0,0.0,Low Risk,0
1244.76,4.35,0.0,0.0,Low Risk,0
4092.03,6.39,0.0,0.0,Low Risk,0
2166.4,23.99,0.0,0.0,Low Risk,0
3659.19,5.99,0.0,0.0,Low Risk,0
2573.52,19.45,0.0,0.0,Low Risk,0
2023.19,33.52,0.0,0.0,Low Risk,0
971.01,14.04,0.0,0.0,Low Risk,0
2611.94,1.12,0.005918389672902308,0.59,Low Risk,0
824.12,17.15,0.0,0.0,Low Risk,0
1583.85,18.44,0.0,0.0,Low Risk,0
1725.15,3.93,0.0,0.0,Low Risk,0
577.08,2.96,0.0,0.0,Low Risk,0
2514.71,6.36,0.0,0.0,Low Risk,0
3127.64,10.69,0.0,0.0,Low Risk,0
2119.47,19.05,0.0,0.0,Low Risk,0
1880.1,4.59,0.0,0.0,Low Risk,0
524.68,5.35,0.0,0.0,Low Risk,0
1333.24,19.19,0.0,0.0,Low Risk,0
2997.16,19.84,0.0,0.0,Low Risk,0
2051.77,3.75,0.0,0.0,Low Risk,0
3568.84,1.32,0.0,0.0,Low Risk,0
3716.52,10.01,0.0,0.0,Low Risk,0
847.65,3.87,0.0,0.0,Low Risk,0
2189.46,4.86,0.0,0.0,Low Risk,0
1761.41,2.92,0.0,0.0,Low Risk,0
4661.3,7.43,0.0,0.0,Low Risk,0
1761.38,1.7,0.0,0.0,Low Risk,0
2442.56,17.21,0.0,0.0,Low Risk,0
746.36,11.55,0.0,0.0,Low Risk,0
3091.28,3.05,0.0,0.0,Low Risk,0
2019.6,0.44,0.0025700934579439253,0.26,Low Risk,0
2643.45,1.14,0.0,0.0,Low Risk,0
3410.73,16.53,0.0,0.0,Low Risk,0
2312.83,24.91,0.0,0.0,Low Risk,0
2574.72,11.41,0.0,0.0,Low Risk,0
2583.67,0.21,0.0,0.0,Low Risk,0
1985.89,1.83,0.0,0.0,Low Risk,0
2720.34,0.53,0.0,0.0,Low Risk,0
2451.91,1.85,0.0,0.0,Low Risk,0
4512.5,2.34,0.0,0.0,Low Risk,0
3720.27,9.12,0.0,0.0,Low Risk,0
1751.44,12.83,0.0,0.0,Low Risk,0
4353.36,16.34,0.0,0.0,Low Risk,0
585.87,10.49,0.0,0.0,Low Risk,0
2191.94,9.79,0.0,0.0,Low Risk,0
2860.91,8.04,0.0,0.0,Low Risk,0
5256.13,0.02,0.0012195121951219512,0.12,Low Risk,0
4114.67,5.03,0.0,0.0,Low Risk,0
3752.03,1.81,0.0,0.0,Low Risk,0
3231.53,12.62,0.0,0.0,Low Risk,0
6202.85,7.4,0.0019419306184012065,0.19,Low Risk,0
2987.09,0.68,0.0,0.0,Low Risk,0
849.54,34.41,0.0,0.0,Low Risk,0
2133.46,6.02,0.0,0.0,Low Risk,0
4393.74,2.55,0.0,0.0,Low Risk,0
2392.66,4.38,0.0,0.0,Low Risk,0
937.95,1.07,0.0016129032258064516,0.16,Low Risk,0
2680.53,4.58,0.0,0.0,Low Risk,0
5382.0,5.71,0.0,0.0,Low Risk,0
2528.27,1.67,0.0,0.0,Low Risk,0
1156.49,2.54,0.0,0.0,Low Risk,0
32415.52,0.79,1.0,100.0,High Risk,1
3743.27,10.44,0.0,0.0,Low Risk,0
5208.45,17.44,0.0,0.0,Low Risk,0
1694.89,1.53,0.0,0.0,Low Risk,0
3030.1,26.48,0.0,0.0,Low Risk,0
3827.53,6.73,0.0,0.0,Low Risk,0
1994.89,16.9,0.0,0.0,Low Risk,0
344.86,16.61,0.0,0.0,Low Risk,0
1715.18,6.57,0.0,0.0,Low Risk,0
2927.73,8.46,0.0,0.0,Low Risk,0
4209.48,23.96,0.0,0.0,Low Risk,0
1920.12,5.38,0.0,0.0,Low Risk,0
2736.67,15.8,0.0,0.0,Low Risk,0
97.95,10.08,0.0,0.0,Low Risk,0
65.17,24.11,0.0,0.0,Low Risk,0
2916.7,0.44,0.0025700934579439253,0.26,Low Risk,0
3485.45,27.48,0.0,0.0,Low Risk,0
1092.04,2.51,0.0,0.0,Low Risk,0
2925.95,1.56,0.0,0.0,Low Risk,0
3304.14,4.32,0.0,0.0,Low Risk,0
2056.17,0.29,0.0,0.0,Low Risk,0
2156.14,5.51,0.0,0.0,Low Risk,0
2414.48,34.11,0.0,0.0,Low Risk,0
5743.36,9.06,0.0,0.0,Low Risk,0
1490.4,12.37,0.0,0.0,Low Risk,0
3234.76,30.82,0.0,0.0,Low Risk,0
1246.04,17.82,0.0,0.0,Low Risk,0
1605.77,1.24,0.0,0.0,Low Risk,0
984.31,3.14,0.0,0.0,Low Risk,0
2954.66,12.38,0.0,0.0,Low Risk,0
2854.66,24.75,0.0,0.0,Low Risk,0
3509.25,10.6,0.0,0.0,Low Risk,0
2036.21,6.13,0.0,0.0,Low Risk,0
734.94,34.27,0.0,0.0,Low Risk,0
1711.1,8.75,0.0,0.0,Low Risk,0
1631.78,4.23,0.0,0.0,Low Risk,0
2885.58,12.65,0.0,0.0,Low Risk,0
3059.25,14.73,0.0,0.0,Low Risk,0
2290.91,2.41,0.0,0.0,Low Risk,0
2435.57,16.42,0.0,0.0,Low Risk,0
28145.47,1.23,0.9991056910569106,99.91,High Risk,1
2524.24,19.45,0.0,0.0,Low Risk,0
1258.78,1.13,0.00912110706923015,0.91,Low Risk,0
2803.61,22.4,0.0,0.0,Low Risk,0
2339.29,1.87,0.0,0.0,Low Risk,0
2210.95,4.87,0.0,0.0,Low Risk,0
12217.18,0.66,1.0,100.0,High Risk,1
1114.83,4.49,0.0,0.0,Low Risk,0
4329.98,16.23,0.0,0.0,Low Risk,0
1674.76,4.06,0.0,0.0,Low Risk,0
2881.21,1.0,0.0,0.0,Low Risk,0
2954.34,2.6,0.0,0.0,Low Risk,0
2805.72,15.72,0.0,0.0,Low Risk,0
1160.74,8.19,0.0,0.0,Low Risk,0
50.0,5.67,0.0,0.0,Low Risk,0
50.0,27.46,0.0,0.0,Low Risk,0
3114.53,28.07,0.0,0.0,Low Risk,0
1195.11,4.41,0.0,0.0,Low Risk,0
1650.64,1.82,0.0,0.0,Low Risk,0
1710.31,0.77,0.0021008403361344537,0.21,Low Risk,0
4185.69,2.36,0.0,0.0,Low Risk,0
2079.07,2.15,0.0,0.0,Low Risk,0
3018.71,6.42,0.0,0.0,Low Risk,0
3607.24,1.59,0.0,0.0,Low Risk,0
1954.33,15.38,0.0,0.0,Low Risk,0
3671.01,17.18,0.0,0.0,Low Risk,0
2799.52,8.78,0.0,0.0,Low Risk,0
1936.13,3.24,0.0,0.0,Low Risk,0
1533.36,32.06,0.0,0.0,Low Risk,0
4725.19,3.75,0.0,0.0,Low Risk,0
3046.31,19.68,0.0,0.0,Low Risk,0
2197.75,3.25,0.0,0.0,Low Risk,0
4376.69,33.31,0.0,0.0,Low Risk,0
2133.22,13.86,0.0,0.0,Low Risk,0
1810.77,12.35,0.0,0.0,Low Risk,0
1124.99,5.62,0.0,0.0,Low Risk,0
3328.14,0.48,0.0,0.0,Low Risk,0
3666.67,6.36,0.0,0.0,Low Risk,0
2486.11,19.7,0.0,0.0,Low Risk,0
3687.89,0.09,0.0,0.0,Low Risk,0
1791.17,2.09,0.0,0.0,Low Risk,0
2049.3,23.81,0.0,0.0,Low Risk,0
2633.12,36.87,0.0,0.0,Low Risk,0
3897.5,4.16,0.0,0.0,Low Risk,0
3603.04,0.91,0.0,0.0,Low Risk,0
4936.73,12.17,0.0,0.0,Low Risk,0
2780.22,26.25,0.0,0.0,Low Risk,0
2430.77,9.96,0.0,0.0,Low Risk,0
1785.47,19.18,0.0,0.0,Low Risk,0
1584.2,2.23,0.0,0.0,Low Risk,0
3804.03,2.31,0.0,0.0,Low Risk,0
2003.98,4.87,0.0,0.0,Low Risk,0
2427.53,3.19,0.0,0.0,Low Risk,0
3915.3,1.69,0.0,0.0,Low Risk,0
4914.82,4.67,0.0,0.0,Low Risk,0
2789.12,28.81,0.0,0.0,Low Risk,0
4238.18,1.03,0.0,0.0,Low Risk,0
2967.65,6.89,0.0,0.0,Low Risk,0
2453.71,10.48,0.0,0.0,Low Risk,0
3210.14,2.38,0.0,0.0,Low Risk,0
3257.93,16.96,0.0,0.0,Low Risk,0
2410.1,0.3,0.0,0.0,Low Risk,0
2677.81,2.85,0.0,0.0,Low Risk,0
1520.61,2.91,0.0,0.0,Low Risk,0
3298.88,10.01,0.0,0.0,Low Risk,0
3397.43,1.54,0.0,0.0,Low Risk,0
4167.24,8.32,0.0,0.0,Low Risk,0
2557.54,14.73,0.0,0.0,Low Risk,0
923.92,1.2,0.0,0.0,Low Risk,0
2443.57,28.14,0.0,0.0,Low Risk,0
2835.59,17.92,0.0,0.0,Low Risk,0
3718.34,0.72,0.0,0.0,Low Risk,0
50.0,21.61,0.0,0.0,Low Risk,0
4188.54,55.48,0.0,0.0,Low Risk,0
2976.04,10.32,0.0,0.0,Low Risk,0
2239.61,12.89,0.0,0.0,Low Risk,0
2477.57,0.54,0.0,0.0,Low Risk,0
1659.17,10.81,0.0,0.0,Low Risk,0
4441.86,3.75,0.0,0.0,Low Risk,0
3857.4,6.48,0.0,0.0,Low Risk,0
3239.72,3.93,0.0,0.0,Low Risk,0
2617.98,2.24,0.0,0.0,Low Risk,0
1054.14,14.18,0.0,0.0,Low Risk,0
1218.36,8.48,0.0,0.0,Low Risk,0
3094.28,12.84,0.0,0.0,Low Risk,0
559.52,16.93,0.0,0.0,Low Risk,0
2711.54,23.93,0.0,0.0,Low Risk,0
4412.0,3.89,0.0,0.0,Low Risk,0
3590.29,12.75,0.0,0.0,Low Risk,0
1634.12,23.52,0.0,0.0,Low Risk,0
3231.23,8.19,0.0,0.0,Low Risk,0
4219.5,33.19,0.0,0.0,Low Risk,0
3324.91,6.14,0.0,0.0,Low Risk,0
570.93,2.64,0.0,0.0,Low Risk,0
2255.27,36.24,0.0,0.0,Low Risk,0
3425.59,1.04,0.0030120481927710845,0.3,Low Risk,0
3266.14,0.14,0.0012987012987012987,0.13,Low Risk,0
2384.96,8.46,0.0,0.0,Low Risk,0
3189.68,32.06,0.0,0.0,Low Risk,0
3220.83,3.5,0.0,0.0,Low Risk,0
3073.41,20.73,0.0,0.0,Low Risk,0
3363.93,3.71,0.0,0.0,Low Risk,0
2768.91,17.14,0.0,0.0,Low Risk,0
3445.1,3.12,0.0,0.0,Low Risk,0
4367.44,4.81,0.0,0.0,Low Risk,0
3677.25,5.35,0.0,0.0,Low Risk,0
1341.62,7.34,0.0,0.0,Low Risk,0
30861.01,0.64,1.0,100.0,High Risk,1
1835.33,5.07,0.0,0.0,Low Risk,0
2432.75,23.97,0.0,0.0,Low Risk,0
3038.61,4.76,0.0,0.0,Low Risk,0
1627.05,10.57,0.0,0.0,Low Risk,0
2682.15,5.39,0.0,0.0,Low Risk,0
4012.78,20.31,0.0,0.0,Low Risk,0
2136.39,0.83,0.00202020202020202,0.2,Low Risk,0
3314.99,0.11,0.008028678437032385,0.8,Low Risk,0
2586.54,4.92,0.0,0.0,Low Risk,0
2885.91,17.46,0.0,0.0,Low Risk,0
2997.37,23.93,0.0,0.0,Low Risk,0
3587.91,5.27,0.0,0.0,Low Risk,0
5557.13,24.47,0.0,0.0,Low Risk,0
4046.93,31.63,0.0,0.0,Low Risk,0
313.48,35.84,0.0,0.0,Low Risk,0
1212.71,5.87,0.0,0.0,Low Risk,0
2571.72,4.62,0.0,0.0,Low Risk,0
794.45,8.39,0.0,0.0,Low Risk,0
2691.61,4.71,0.0,0.0,Low Risk,0
4878.81,3.0,0.0,0.0,Low Risk,0
3398.33,2.54,0.0,0.0,Low Risk,0
1147.62,0.23,0.0,0.0,Low Risk,0
3392.56,18.27,0.0,0.0,Low Risk,0
2246.61,8.3,0.0,0.0,Low Risk,0
2526.97,31.79,0.0,0.0,Low Risk,0
50.0,2.33,0.0,0.0,Low Risk,0
2607.58,2.43,0.0,0.0,Low Risk,0
2040.86,4.55,0.0,0.0,Low Risk,0
2441.88,7.2,0.0,0.0,Low Risk,0
3544.1,1.9,0.0,0.0,Low Risk,0
2301.18,0.61,0.0,0.0,Low Risk,0
3284.31,56.61,0.0,0.0,Low Risk,0
1666.86,2.58,0.0,0.0,Low Risk,0
501.37,6.21,0.0,0.0,Low Risk,0
2303.03,14.12,0.0,0.0,Low Risk,0
50.0,2.2,0.0,0.0,Low Risk,0
1928.95,11.41,0.0,0.0,Low Risk,0
1471.76,3.77,0.0,0.0,Low Risk,0
1831.13,9.61,0.0,0.0,Low Risk,0
2288.6,17.99,0.0,0.0,Low Risk,0
3104.4,7.77,0.0,0.0,Low Risk,0
866.81,19.12,0.0,0.0,Low Risk,0
1727.38,14.77,0.0,0.0,Low Risk,0
4676.34,6.48,0.0,0.0,Low Risk,0
